year,seed,variable_resource_cost_gbp,demand_mwh,unserved_mwh,scarcity_hours,emissions_t,renewable_curtailment_mwh,balance_max_mw,storage_residual_max_mwh,mean_price_gbp_per_mwh,consumer_energy_payment_gbp,fixed_cost_gbp,capacity_payment_gbp,solve_seconds,capacity_gas_mw,capacity_peaker_mw,capacity_wind_mw,capacity_solar_mw,design
2026,101,38359286007.12114,219000000.00000003,4307382.136466298,2294.285714285715,54489275.12116338,0.0,3.637978807091713e-12,2.2737367544323206e-13,1788.0952380952378,404198493793.14526,1040000000.0,0.0,0.16180579992942512,17000.0,3000.0,12000.0,9000.0,energy_only
2027,101,26448155348.91569,224475000.0,2230855.97340292,1564.2857142857142,56369462.36063866,0.0,3.637978807091713e-12,2.2737367544323206e-13,1301.4285714285716,308276337204.3718,1084000000.0,0.0,0.18815139995422214,17000.0,4600.0,12000.0,11000.0,energy_only
2028,101,12807225955.337568,230086874.99999997,49522.45559870923,104.28571428571429,54263898.79676504,0.0,3.637978807091713e-12,2.2737367544323206e-13,178.80952380952385,42406850488.86029,1229250000.0,0.0,0.16348589991685003,18250.0,6200.0,13750.0,13000.0,energy_only
2029,101,13341493188.522955,235839046.87499994,138722.95413722759,208.57142857142858,53352281.07633323,0.0,3.637978807091713e-12,2.2737367544323206e-13,254.28571428571436,61304257962.658455,1299500000.0,0.0,0.17658110009506345,16500.0,7800.0,15500.0,15000.0,energy_only
2030,101,11704419137.054274,241735023.04687494,0.0,0.0,50312022.91963837,0.0,3.637978807091713e-12,2.2737367544323206e-13,109.99999999999994,26954545308.543793,1444750000.0,0.0,0.16077660000883043,17750.0,9400.0,17250.0,17000.0,energy_only
2031,101,10982104448.58725,247778398.62304682,0.0,0.0,47496399.81815246,0.0,3.637978807091713e-12,2.2737367544323206e-13,103.39732555071885,26001445874.647102,1590000000.0,0.0,0.15410370007157326,19000.0,11000.0,19000.0,19000.0,energy_only
2026,101,38359286007.12114,219000000.00000003,4307382.136466298,2294.285714285715,54489275.12116338,0.0,3.637978807091713e-12,2.2737367544323206e-13,1788.0952380952378,404198493793.14526,1040000000.0,1539000000.0,0.1560302999569103,17000.0,3000.0,12000.0,9000.0,stylised_capacity_payment
2027,101,26448155348.91569,224475000.0,2230855.97340292,1564.2857142857142,56369462.36063866,0.0,3.637978807091713e-12,2.2737367544323206e-13,1301.4285714285716,308276337204.3718,1084000000.0,1659000000.0,0.16700480005238205,17000.0,4600.0,12000.0,11000.0,stylised_capacity_payment
2028,101,12807225955.337568,230086874.99999997,49522.45559870923,104.28571428571429,54263898.79676504,0.0,3.637978807091713e-12,2.2737367544323206e-13,178.80952380952385,42406850488.86029,1229250000.0,1883062500.0,0.16208639997057617,18250.0,6200.0,13750.0,13000.0,stylised_capacity_payment
2029,101,13341493188.522955,235839046.87499994,138722.95413722759,208.57142857142858,53352281.07633323,0.0,3.637978807091713e-12,2.2737367544323206e-13,254.28571428571436,61304257962.658455,1299500000.0,1904625000.0,0.15123509999830276,16500.0,7800.0,15500.0,15000.0,stylised_capacity_payment
2030,101,11704419137.054274,241735023.04687494,0.0,0.0,50312022.91963837,0.0,3.637978807091713e-12,2.2737367544323206e-13,109.99999999999994,26954545308.543793,1444750000.0,2128687500.0,0.16134720004629344,17750.0,9400.0,17250.0,17000.0,stylised_capacity_payment
2031,101,10982104448.58725,247778398.62304682,0.0,0.0,47496399.81815246,0.0,3.637978807091713e-12,2.2737367544323206e-13,103.39732555071885,26001445874.647102,1590000000.0,2352750000.0,0.1638027000008151,19000.0,11000.0,19000.0,19000.0,stylised_capacity_payment
2026,102,38359286007.12114,219000000.00000003,4307382.136466298,2294.285714285715,54489275.12116338,0.0,3.637978807091713e-12,2.2737367544323206e-13,1788.0952380952378,404198493793.14526,1040000000.0,0.0,0.1558416000334546,17000.0,3000.0,12000.0,9000.0,energy_only
2027,102,26448155348.91569,224475000.0,2230855.97340292,1564.2857142857142,56369462.36063866,0.0,3.637978807091713e-12,2.2737367544323206e-13,1301.4285714285716,308276337204.3718,1084000000.0,0.0,0.15716030006296933,17000.0,4600.0,12000.0,11000.0,energy_only
2028,102,12807225955.337568,230086874.99999997,49522.45559870923,104.28571428571429,54263898.79676504,0.0,3.637978807091713e-12,2.2737367544323206e-13,178.80952380952385,42406850488.86029,1229250000.0,0.0,0.23580579995177686,18250.0,6200.0,13750.0,13000.0,energy_only
2029,102,13341493188.522955,235839046.87499994,138722.95413722759,208.57142857142858,53352281.07633323,0.0,3.637978807091713e-12,2.2737367544323206e-13,254.28571428571436,61304257962.658455,1299500000.0,0.0,0.17399809998460114,16500.0,7800.0,15500.0,15000.0,energy_only
2030,102,11704419137.054274,241735023.04687494,0.0,0.0,50312022.91963837,0.0,3.637978807091713e-12,2.2737367544323206e-13,109.99999999999994,26954545308.543793,1444750000.0,0.0,0.1587466000346467,17750.0,9400.0,17250.0,17000.0,energy_only
2031,102,10982104448.58725,247778398.62304682,0.0,0.0,47496399.81815246,0.0,3.637978807091713e-12,2.2737367544323206e-13,103.39732555071885,26001445874.647102,1590000000.0,0.0,0.16688750009052455,19000.0,11000.0,19000.0,19000.0,energy_only
2026,102,38359286007.12114,219000000.00000003,4307382.136466298,2294.285714285715,54489275.12116338,0.0,3.637978807091713e-12,2.2737367544323206e-13,1788.0952380952378,404198493793.14526,1040000000.0,1539000000.0,0.24735040008090436,17000.0,3000.0,12000.0,9000.0,stylised_capacity_payment
2027,102,26448155348.91569,224475000.0,2230855.97340292,1564.2857142857142,56369462.36063866,0.0,3.637978807091713e-12,2.2737367544323206e-13,1301.4285714285716,308276337204.3718,1084000000.0,1659000000.0,0.16141080006491393,17000.0,4600.0,12000.0,11000.0,stylised_capacity_payment
2028,102,12807225955.337568,230086874.99999997,49522.45559870923,104.28571428571429,54263898.79676504,0.0,3.637978807091713e-12,2.2737367544323206e-13,178.80952380952385,42406850488.86029,1229250000.0,1883062500.0,0.16545590001624078,18250.0,6200.0,13750.0,13000.0,stylised_capacity_payment
2029,102,13341493188.522955,235839046.87499994,138722.95413722759,208.57142857142858,53352281.07633323,0.0,3.637978807091713e-12,2.2737367544323206e-13,254.28571428571436,61304257962.658455,1299500000.0,1904625000.0,0.15557850000914186,16500.0,7800.0,15500.0,15000.0,stylised_capacity_payment
2030,102,11704419137.054274,241735023.04687494,0.0,0.0,50312022.91963837,0.0,3.637978807091713e-12,2.2737367544323206e-13,109.99999999999994,26954545308.543793,1444750000.0,2128687500.0,0.23305729997809976,17750.0,9400.0,17250.0,17000.0,stylised_capacity_payment
2031,102,10982104448.58725,247778398.62304682,0.0,0.0,47496399.81815246,0.0,3.637978807091713e-12,2.2737367544323206e-13,103.39732555071885,26001445874.647102,1590000000.0,2352750000.0,0.16629439999815077,19000.0,11000.0,19000.0,19000.0,stylised_capacity_payment
2026,103,38359286007.12114,219000000.00000003,4307382.136466298,2294.285714285715,54489275.12116338,0.0,3.637978807091713e-12,2.2737367544323206e-13,1788.0952380952378,404198493793.14526,1040000000.0,0.0,0.17602999997325242,17000.0,3000.0,12000.0,9000.0,energy_only
2027,103,26448155348.91569,224475000.0,2230855.97340292,1564.2857142857142,56369462.36063866,0.0,3.637978807091713e-12,2.2737367544323206e-13,1301.4285714285716,308276337204.3718,1084000000.0,0.0,0.16482959990389645,17000.0,4600.0,12000.0,11000.0,energy_only
2028,103,12807225955.337568,230086874.99999997,49522.45559870923,104.28571428571429,54263898.79676504,0.0,3.637978807091713e-12,2.2737367544323206e-13,178.80952380952385,42406850488.86029,1229250000.0,0.0,0.16115189995616674,18250.0,6200.0,13750.0,13000.0,energy_only
2029,103,13341493188.522955,235839046.87499994,138722.95413722759,208.57142857142858,53352281.07633323,0.0,3.637978807091713e-12,2.2737367544323206e-13,254.28571428571436,61304257962.658455,1299500000.0,0.0,0.1721726000541821,16500.0,7800.0,15500.0,15000.0,energy_only
2030,103,11704419137.054274,241735023.04687494,0.0,0.0,50312022.91963837,0.0,3.637978807091713e-12,2.2737367544323206e-13,109.99999999999994,26954545308.543793,1444750000.0,0.0,0.1716396000701934,17750.0,9400.0,17250.0,17000.0,energy_only
2031,103,10982104448.58725,247778398.62304682,0.0,0.0,47496399.81815246,0.0,3.637978807091713e-12,2.2737367544323206e-13,103.39732555071885,26001445874.647102,1590000000.0,0.0,0.16404409997630864,19000.0,11000.0,19000.0,19000.0,energy_only
2026,103,38359286007.12114,219000000.00000003,4307382.136466298,2294.285714285715,54489275.12116338,0.0,3.637978807091713e-12,2.2737367544323206e-13,1788.0952380952378,404198493793.14526,1040000000.0,1539000000.0,0.16907920001540333,17000.0,3000.0,12000.0,9000.0,stylised_capacity_payment
2027,103,26448155348.91569,224475000.0,2230855.97340292,1564.2857142857142,56369462.36063866,0.0,3.637978807091713e-12,2.2737367544323206e-13,1301.4285714285716,308276337204.3718,1084000000.0,1659000000.0,0.16095639998093247,17000.0,4600.0,12000.0,11000.0,stylised_capacity_payment
2028,103,12807225955.337568,230086874.99999997,49522.45559870923,104.28571428571429,54263898.79676504,0.0,3.637978807091713e-12,2.2737367544323206e-13,178.80952380952385,42406850488.86029,1229250000.0,1883062500.0,0.16911170003004372,18250.0,6200.0,13750.0,13000.0,stylised_capacity_payment
2029,103,13341493188.522955,235839046.87499994,138722.95413722759,208.57142857142858,53352281.07633323,0.0,3.637978807091713e-12,2.2737367544323206e-13,254.28571428571436,61304257962.658455,1299500000.0,1904625000.0,0.2390765999443829,16500.0,7800.0,15500.0,15000.0,stylised_capacity_payment
2030,103,11704419137.054274,241735023.04687494,0.0,0.0,50312022.91963837,0.0,3.637978807091713e-12,2.2737367544323206e-13,109.99999999999994,26954545308.543793,1444750000.0,2128687500.0,0.17101990000810474,17750.0,9400.0,17250.0,17000.0,stylised_capacity_payment
2031,103,10982104448.58725,247778398.62304682,0.0,0.0,47496399.81815246,0.0,3.637978807091713e-12,2.2737367544323206e-13,103.39732555071885,26001445874.647102,1590000000.0,2352750000.0,0.17043900000862777,19000.0,11000.0,19000.0,19000.0,stylised_capacity_payment
2026,104,38359286007.12114,219000000.00000003,4307382.136466298,2294.285714285715,54489275.12116338,0.0,3.637978807091713e-12,2.2737367544323206e-13,1788.0952380952378,404198493793.14526,1040000000.0,0.0,0.15539670002181083,17000.0,3000.0,12000.0,9000.0,energy_only
2027,104,26448155348.91569,224475000.0,2230855.97340292,1564.2857142857142,56369462.36063866,0.0,3.637978807091713e-12,2.2737367544323206e-13,1301.4285714285716,308276337204.3718,1084000000.0,0.0,0.2452332000248134,17000.0,4600.0,12000.0,11000.0,energy_only
2028,104,12807225955.337568,230086874.99999997,49522.45559870923,104.28571428571429,54263898.79676504,0.0,3.637978807091713e-12,2.2737367544323206e-13,178.80952380952385,42406850488.86029,1229250000.0,0.0,0.163134100032039,18250.0,6200.0,13750.0,13000.0,energy_only
2029,104,13341493188.522955,235839046.87499994,138722.95413722759,208.57142857142858,53352281.07633323,0.0,3.637978807091713e-12,2.2737367544323206e-13,254.28571428571436,61304257962.658455,1299500000.0,0.0,0.1667924999492243,16500.0,7800.0,15500.0,15000.0,energy_only
2030,104,11704419137.054274,241735023.04687494,0.0,0.0,50312022.91963837,0.0,3.637978807091713e-12,2.2737367544323206e-13,109.99999999999994,26954545308.543793,1444750000.0,0.0,0.16249409993179142,17750.0,9400.0,17250.0,17000.0,energy_only
2031,104,10982104448.58725,247778398.62304682,0.0,0.0,47496399.81815246,0.0,3.637978807091713e-12,2.2737367544323206e-13,103.39732555071885,26001445874.647102,1590000000.0,0.0,0.25146629998926073,19000.0,11000.0,19000.0,19000.0,energy_only
2026,104,38359286007.12114,219000000.00000003,4307382.136466298,2294.285714285715,54489275.12116338,0.0,3.637978807091713e-12,2.2737367544323206e-13,1788.0952380952378,404198493793.14526,1040000000.0,1539000000.0,0.16245489998254925,17000.0,3000.0,12000.0,9000.0,stylised_capacity_payment
2027,104,26448155348.91569,224475000.0,2230855.97340292,1564.2857142857142,56369462.36063866,0.0,3.637978807091713e-12,2.2737367544323206e-13,1301.4285714285716,308276337204.3718,1084000000.0,1659000000.0,0.15812149993143976,17000.0,4600.0,12000.0,11000.0,stylised_capacity_payment
2028,104,12807225955.337568,230086874.99999997,49522.45559870923,104.28571428571429,54263898.79676504,0.0,3.637978807091713e-12,2.2737367544323206e-13,178.80952380952385,42406850488.86029,1229250000.0,1883062500.0,0.1649133999599144,18250.0,6200.0,13750.0,13000.0,stylised_capacity_payment
