year,technology,build_mw,commission_year
2026,gas,2500.0,2028
2026,peaker,2000.0,2027
2026,wind,4000.0,2028
2026,solar,3500.0,2027
2027,gas,2500.0,2029
2027,peaker,153.09489686962752,2028
2027,wind,4000.0,2029
2027,solar,3500.0,2028
2028,gas,95.56895587019972,2030
2028,peaker,577.9708924486176,2029
2028,wind,4000.0,2030
2028,solar,3500.0,2029
2029,gas,0.0,2031
2029,peaker,0.0,2030
2029,wind,4000.0,2031
2029,solar,3500.0,2030
2030,gas,0.0,2032
2030,peaker,113.60697087731387,2031
2030,wind,0.0,2032
2030,solar,3500.0,2031
2031,gas,0.0,2033
2031,peaker,0.0,2032
2031,wind,0.0,2033
2031,solar,0.0,2032
