year,asset_id,owner,technology,energy_revenue_gbp,capacity_payment_gbp,operating_cashflow_gbp,design,seed
2026,legacy-gas,legacy,gas,218413864393.81036,0.0,209130800000.00006,energy_only,101
2026,retiring-gas,legacy,gas,46802970941.53079,0.0,44813742857.142876,energy_only,101
2026,legacy-peaker,legacy,peaker,45473268030.580536,0.0,43880142857.14287,energy_only,101
2026,legacy-wind,legacy,wind,79778309611.81535,0.0,79202867161.6544,energy_only,101
2026,legacy-solar,legacy,solar,6110596040.97222,0.0,5999386796.550963,energy_only,101
2027,legacy-gas,legacy,gas,158618420587.38187,0.0,149446000000.00006,energy_only,101
2027,retiring-gas,legacy,gas,33989661554.438972,0.0,32024142857.14287,energy_only,101
2027,legacy-peaker,legacy,peaker,32565246023.47276,0.0,31068642857.142857,energy_only,101
2027,peaker-a-2026,peaker-a,peaker,17368131212.518803,0.0,16569942857.142855,energy_only,101
2027,legacy-wind,legacy,wind,54963828524.88189,0.0,54388386074.72093,energy_only,101
2027,legacy-solar,legacy,solar,3676681366.444332,0.0,3565472122.023075,energy_only,101
2027,solar-a-2026,solar-a,solar,817040303.654296,0.0,792327138.2273501,energy_only,101
2028,gas-a-2026,gas-a,gas,1814918233.4179819,0.0,1050714285.7142854,energy_only,101
2028,legacy-gas,legacy,gas,20327084214.2814,0.0,11768000000.0,energy_only,101
2028,retiring-gas,legacy,gas,4355803760.203156,0.0,2521714285.714285,energy_only,101
2028,legacy-peaker,legacy,peaker,2636364137.5279183,0.0,1785214285.7142859,energy_only,101
2028,peaker-a-2026,peaker-a,peaker,1406060873.348223,0.0,952114285.7142856,energy_only,101
2028,peaker-a-2027,peaker-a,peaker,1406060873.348223,0.0,952114285.7142856,energy_only,101
2028,legacy-wind,legacy,wind,6267026470.354844,0.0,5691584020.193888,energy_only,101
2028,wind-a-2026,wind-a,wind,652815257.3286297,0.0,592873335.4368634,energy_only,101
2028,wind-b-2026,wind-b,wind,261126102.93145186,0.0,237149334.17474535,energy_only,101
2028,legacy-solar,legacy,solar,1789211427.2086701,0.0,1678002182.7874134,energy_only,101
2028,solar-a-2026,solar-a,solar,397602539.3797045,0.0,372889373.9527585,energy_only,101
2028,solar-a-2027,solar-a,solar,397602539.3797045,0.0,372889373.9527585,energy_only,101
2029,gas-a-2026,gas-a,gas,2642768258.8595448,0.0,1877178571.428572,energy_only,101
2029,gas-a-2027,gas-a,gas,2642768258.8595448,0.0,1877178571.428572,energy_only,101
2029,legacy-gas,legacy,gas,29599004499.226902,0.0,21024400000.000008,energy_only,101
