design,seed,resource_npv_gbp,planner_npv_gbp,resource_gap_gbp
energy_only,101,111458655297.18007,101663469425.84192,9795185871.33815
stylised_capacity_payment,101,111458655297.18007,101663469425.84192,9795185871.33815
energy_only,102,111458655297.18007,101663469425.84192,9795185871.33815
stylised_capacity_payment,102,111458655297.18007,101663469425.84192,9795185871.33815
energy_only,103,111458655297.18007,101663469425.84192,9795185871.33815
stylised_capacity_payment,103,111458655297.18007,101663469425.84192,9795185871.33815
energy_only,104,111458655297.18007,101663469425.84192,9795185871.33815
stylised_capacity_payment,104,111458655297.18007,101663469425.84192,9795185871.33815
energy_only,105,111458655297.18007,101663469425.84192,9795185871.33815
stylised_capacity_payment,105,111458655297.18007,101663469425.84192,9795185871.33815
energy_only,106,111458655297.18007,101663469425.84192,9795185871.33815
stylised_capacity_payment,106,111458655297.18007,101663469425.84192,9795185871.33815
energy_only,107,111458655297.18007,101663469425.84192,9795185871.33815
stylised_capacity_payment,107,111458655297.18007,101663469425.84192,9795185871.33815
energy_only,108,111458655297.18007,101663469425.84192,9795185871.33815
stylised_capacity_payment,108,111458655297.18007,101663469425.84192,9795185871.33815
energy_only,109,111458655297.18007,101663469425.84192,9795185871.33815
stylised_capacity_payment,109,111458655297.18007,101663469425.84192,9795185871.33815
energy_only,110,111458655297.18007,101663469425.84192,9795185871.33815
stylised_capacity_payment,110,111458655297.18007,101663469425.84192,9795185871.33815
energy_only,111,111458655297.18007,101663469425.84192,9795185871.33815
stylised_capacity_payment,111,111458655297.18007,101663469425.84192,9795185871.33815
energy_only,112,111458655297.18007,101663469425.84192,9795185871.33815
stylised_capacity_payment,112,111458655297.18007,101663469425.84192,9795185871.33815
energy_only,113,111458655297.18007,101663469425.84192,9795185871.33815
stylised_capacity_payment,113,111458655297.18007,101663469425.84192,9795185871.33815
energy_only,114,111458655297.18007,101663469425.84192,9795185871.33815
stylised_capacity_payment,114,111458655297.18007,101663469425.84192,9795185871.33815
energy_only,115,111458655297.18007,101663469425.84192,9795185871.33815
stylised_capacity_payment,115,111458655297.18007,101663469425.84192,9795185871.33815
energy_only,116,111458655297.18007,101663469425.84192,9795185871.33815
stylised_capacity_payment,116,111458655297.18007,101663469425.84192,9795185871.33815
energy_only,117,111458655297.18007,101663469425.84192,9795185871.33815
stylised_capacity_payment,117,111458655297.18007,101663469425.84192,9795185871.33815
energy_only,118,111458655297.18007,101663469425.84192,9795185871.33815
stylised_capacity_payment,118,111458655297.18007,101663469425.84192,9795185871.33815
energy_only,119,111458655297.18007,101663469425.84192,9795185871.33815
stylised_capacity_payment,119,111458655297.18007,101663469425.84192,9795185871.33815
energy_only,120,111458655297.18007,101663469425.84192,9795185871.33815
stylised_capacity_payment,120,111458655297.18007,101663469425.84192,9795185871.33815
